id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
182362.0,2019-01-01,terça-feira,18:20:00,PE,101,41,IGARASSU,Ingestão de Álcool,Colisão lateral,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,0,0,2,0,0,2,"-7,837","-34,9124",SPRF-PE,DEL01-PE,UOP02-DEL01-PE
182538.0,2019-01-02,quarta-feira,13:35:00,PE,101,"69,1",RECIFE,Falta de Atenção à Condução,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Sol,Múltipla,Reta,Sim,3,0,0,0,3,0,0,3,"-8,0678","-34,9427",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
182679.0,2019-01-03,quinta-feira,09:00:00,PE,232,129,CARUARU,Condutor Dormindo,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Reta,Sim,3,0,0,1,2,0,1,2,"-8,301935","-35,980919",SPRF-PE,DEL02-PE,UOP03-DEL02-PE
183233.0,2019-01-03,quinta-feira,16:00:00,PE,101,"7,5",GOIANA,Falta de Atenção do Pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,0,1,1,0,1,2,"-7,56401279","-34,99008898",SPRF-PE,DEL01-PE,UOP02-DEL01-PE
183285.0,2019-01-03,quinta-feira,23:25:00,PE,428,"185,7",PETROLINA,Ingestão de Álcool,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Interseção de Vias,Sim,1,0,1,0,0,0,1,1,"-9,340178","-40,470364",SPRF-PE,DEL06-PE,UOP01-DEL06-PE
183477.0,2019-01-04,sexta-feira,18:30:00,PE,232,"123,7",CARUARU,Falta de Atenção à Condução,Colisão traseira,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,2,1,1,0,0,0,1,1,"-8,30730313","-35,93902588",SPRF-PE,DEL02-PE,UOP03-DEL02-PE
183537.0,2019-01-05,sábado,09:35:00,PE,116,82,BELEM DE SAO FRANCISCO,Velocidade Incompatível,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,7,0,1,0,6,0,1,5,"-8,542338","-39,223984",SPRF-PE,DEL05-PE,UOP03-DEL05-PE
183594.0,2019-01-05,sábado,15:45:00,PE,116,80,CABROBO,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,3,0,3,0,0,0,3,2,"-8,525343","-39,218342",SPRF-PE,DEL05-PE,UOP03-DEL05-PE
183607.0,2019-01-05,sábado,16:50:00,PE,101,"42,2",IGARASSU,Falta de Atenção à Condução,Colisão transversal,Sem Vítimas,Anoitecer,Decrescente,Céu Claro,Múltipla,Retorno Regulamentado,Não,2,0,0,0,1,1,0,2,"-7,8543","-34,9087",SPRF-PE,DEL01-PE,UOP02-DEL01-PE
183645.0,2019-01-05,sábado,20:35:00,PE,232,"152,8",SAO CAITANO,Ultrapassagem Indevida,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Aclive,Não,1,0,1,0,0,0,1,1,"-8,327275","-36,18582",SPRF-PE,DEL02-PE,UOP03-DEL02-PE
183783.0,2019-01-06,domingo,17:20:00,PE,232,"245,5",ARCOVERDE,Falta de Atenção à Condução,Tombamento,Sem Vítimas,Anoitecer,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,0,1,1,0,2,"-8,429241","-37,060127",SPRF-PE,DEL03-PE,UOP02-DEL03-PE
183853.0,2019-01-07,segunda-feira,02:00:00,PE,101,"75,1",RECIFE,Falta de Atenção à Condução,Tombamento,Sem Vítimas,Plena Noite,Decrescente,Chuva,Simples,Em Obras;Curva                ,Sim,1,0,0,0,1,0,0,1,"-8,1194","-34,9429",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
183857.0,2019-01-07,segunda-feira,03:00:00,PE,101,137,RIBEIRAO,Carga excessiva e/ou mal acondicionada,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Nublado,Dupla,Curva,Não,1,0,0,0,1,0,0,1,"-8,4193","-35,3166",SPRF-PE,DEL01-PE,UOP03-DEL01-PE
183930.0,2019-01-07,segunda-feira,14:10:00,PE,101,"46,5",IGARASSU,Falta de Atenção à Condução,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,9,0,0,0,8,1,0,4,"-7,875498","-34,905649",SPRF-PE,DEL01-PE,UOP02-DEL01-PE
184111.0,2019-01-09,quarta-feira,00:55:00,PE,101,68,RECIFE,Falta de Atenção à Condução,Colisão com objeto estático,Com Vítimas Fatais,Plena Noite,Decrescente,Chuva,Dupla,Reta,Sim,1,1,0,0,0,0,0,1,"-8,0595","-34,9458",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
184315.0,2019-01-10,quinta-feira,05:40:00,PE,232,361,FLORES,Condutor Dormindo,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Simples,Reta,Não,3,0,3,0,0,0,3,1,"-8,04495223","-37,87433624",SPRF-PE,DEL04-PE,UOP01-DEL04-PE
184461.0,2019-01-11,sexta-feira,04:00:00,PE,101,"68,5",RECIFE,Falta de Atenção à Condução,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Dupla,Em Obras;Reta                 ,Sim,1,0,1,0,0,0,1,1,"-8,0595","-34,9458",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
184606.0,2019-01-11,sexta-feira,18:10:00,PE,104,65,CARUARU,Não guardar distância de segurança,Colisão lateral,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Reta,Sim,5,0,2,0,3,0,2,3,"-8,2867","-35,9838",SPRF-PE,DEL02-PE,UOP01-DEL02-PE
184732.0,2019-01-12,sábado,09:12:00,PE,101,75,RECIFE,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Reta,Sim,2,0,1,0,0,1,1,2,"-8,1194","-34,9429",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
184901.0,2019-01-13,domingo,06:20:00,PE,101,"56,3",RECIFE,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,0,1,1,0,1,2,"-7,9641","-34,9158",SPRF-PE,DEL01-PE,UOP02-DEL01-PE
184945.0,2019-01-13,domingo,12:30:00,PE,104,"12,2",TAQUARITINGA DO NORTE,Ultrapassagem Indevida,Colisão frontal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,3,1,0,0,2,0,0,3,"-7,888657","-36,110435",SPRF-PE,DEL02-PE,UOP01-DEL02-PE
185024.0,2019-01-13,domingo,17:15:00,PE,407,"126,1",PETROLINA,Falta de Atenção à Condução,Colisão com objeto estático,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,Sim,2,0,1,0,0,1,1,2,"-9,3868728","-40,5258477",SPRF-PE,DEL06-PE,UOP01-DEL06-PE
185490.0,2019-01-16,quarta-feira,07:15:00,PE,101,"117,5",ESCADA,Animais na Pista,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,3,0,1,0,2,0,1,2,"-8,353","-35,1577",SPRF-PE,DEL01-PE,UOP03-DEL01-PE
