id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
182362,2019-01-01,terça-feira,18:20:00,PE,101,41,IGARASSU,Ingestão de Álcool,Colisão lateral,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,0,0,2,0,0,2,"-7,837","-34,9124",SPRF-PE,DEL01-PE,UOP02-DEL01-PE
182538,2019-01-02,quarta-feira,13:35:00,PE,101,"69,1",RECIFE,Falta de Atenção à Condução,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Sol,Múltipla,Reta,Sim,3,0,0,0,3,0,0,3,"-8,0678","-34,9427",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
182679,2019-01-03,quinta-feira,09:00:00,PE,232,129,CARUARU,Condutor Dormindo,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Reta,Sim,3,0,0,1,2,0,1,2,"-8,301935","-35,980919",SPRF-PE,DEL02-PE,UOP03-DEL02-PE
183233,2019-01-03,quinta-feira,16:00:00,PE,101,"7,5",GOIANA,Falta de Atenção do Pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,0,1,1,0,1,2,"-7,56401279","-34,99008898",SPRF-PE,DEL01-PE,UOP02-DEL01-PE
183285,2019-01-03,quinta-feira,23:25:00,PE,428,"185,7",PETROLINA,Ingestão de Álcool,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Interseção de Vias,Sim,1,0,1,0,0,0,1,1,"-9,340178","-40,470364",SPRF-PE,DEL06-PE,UOP01-DEL06-PE
183477,2019-01-04,sexta-feira,18:30:00,PE,232,"123,7",CARUARU,Falta de Atenção à Condução,Colisão traseira,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,2,1,1,0,0,0,1,1,"-8,30730313","-35,93902588",SPRF-PE,DEL02-PE,UOP03-DEL02-PE
183537,2019-01-05,sábado,09:35:00,PE,116,82,BELEM DE SAO FRANCISCO,Velocidade Incompatível,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,7,0,1,0,6,0,1,5,"-8,542338","-39,223984",SPRF-PE,DEL05-PE,UOP03-DEL05-PE
183594,2019-01-05,sábado,15:45:00,PE,116,80,CABROBO,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,3,0,3,0,0,0,3,2,"-8,525343","-39,218342",SPRF-PE,DEL05-PE,UOP03-DEL05-PE
183607,2019-01-05,sábado,16:50:00,PE,101,"42,2",IGARASSU,Falta de Atenção à Condução,Colisão transversal,Sem Vítimas,Anoitecer,Decrescente,Céu Claro,Múltipla,Retorno Regulamentado,Não,2,0,0,0,1,1,0,2,"-7,8543","-34,9087",SPRF-PE,DEL01-PE,UOP02-DEL01-PE
183645,2019-01-05,sábado,20:35:00,PE,232,"152,8",SAO CAITANO,Ultrapassagem Indevida,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Aclive,Não,1,0,1,0,0,0,1,1,"-8,327275","-36,18582",SPRF-PE,DEL02-PE,UOP03-DEL02-PE
