Código do Equipamento,Equipamento,UF,Município,Rodovia,Km,Coordenadas,Registro INMETRO,Nº de Série
ROB20040023,Redutor Eletrônico de Velocidade,RO,PORTO VELHO,364,"712,585","-63.87748, -8.77459",12908470,FLICD2005A00558
ROR20040020,Controlador Eletrônico de Velocidade,RO,PORTO VELHO,364,"714,250","-63.889707, -8.777642",12908471,FLISD2005A00554
ROB20040024,Redutor Eletrônico de Velocidade,RO,PORTO VELHO,364,"800,680","-64.404046, -9.258233",4781728,FLICD2005A00555
ROB21120033,Redutor Eletrônico de Velocidade,RO,PORTO VELHO,319,"61,065","-63.889548, -8.741321",14826018,FLICD2106A00572
ROR20050023,Controlador Eletrônico de Velocidade,RO,PORTO VELHO,364,"703,380","-63.803277, -8.800411",12908465,FLISD2005A00529
ROB21050029,Redutor Eletrônico de Velocidade,RO,PORTO VELHO,364,"699,700","-63.770744, -8.800602",14781787,FLICD2106A00579
ROB21120036,Redutor Eletrônico de Velocidade,RO,PORTO VELHO,364,"695,970","-63.73705, -8.80054",12908464,FLICD2005A00532
ROR21120029,Controlador Eletrônico de Velocidade,RO,PORTO VELHO,364,"707,660","-63.84033, -8.79602",14781786,FLISD2005A00533
ROR21120030,Controlador Eletrônico de Velocidade,RO,PORTO VELHO,364,"708,105","-63.84359, -8.79415",12908467,FLISD2005A00534
ROR21120031,Controlador Eletrônico de Velocidade,RO,PORTO VELHO,364,"710,415","-63.860339, -8.784394",12908472,FLISD2005A00556
ROB21120037,Redutor Eletrônico de Velocidade,RO,PORTO VELHO,319,"61,070","-63.889985, -8.741456",14826017,FLICD2106A00573
ROB20040008,Redutor Eletrônico de Velocidade,RO,JI-PARANA,364,"343,380","-61.949228, -10.87633",14781722,FLICD2005A00528
ROB20040009,Redutor Eletrônico de Velocidade,RO,JI-PARANA,364,"343,360","-61.94878, -10.876266",14781721,FLICD2005A00527
ROR20040008,Controlador Eletrônico de Velocidade,RO,JI-PARANA,364,"340,220","-61.930647, -10.896874",14781717,FLISD2005A00524
ROR20040009,Controlador Eletrônico de Velocidade,RO,JI-PARANA,364,"341,500","-61.934805, -10.88545",14781719,FLISD2005A00525
ROR20040010,Controlador Eletrônico de Velocidade,RO,JI-PARANA,364,"341,600","-61.935758, -10.885028",14781718,FLISD2005A00526
ROR20040013,Controlador Eletrônico de Velocidade,RO,JI-PARANA,364,"340,070","-61.930402, -10.898763",14781716,FLISD2005A00549
ROR20040014,Controlador Eletrônico de Velocidade,RO,JI-PARANA,364,"348,000","-61.982945, -10.85608",14781720,FLISD2005A00551
ROR20040017,Controlador Eletrônico de Velocidade,RO,ARIQUEMES,364,"515,010","-63.05511, -9.92372",14781727,FLISD2005A00552
ROR20050022,Controlador Eletrônico de Velocidade,RO,ARIQUEMES,364,"513,500","-63.05537, -9.93553",14781726,FLISD2005A00559
ROB21120038,Redutor Eletrônico de Velocidade,RO,CACOAL,364,"224,715","-61.358851, -11.511356",14781785,FLICD2005A00540
ROB22100041,Redutor Eletrônico de Velocidade,RO,CACOAL,364,"273,800","-61.746888, -11.38605",14826042,FLICD2106A00576
ROB20040020,Redutor Eletrônico de Velocidade,RO,CACOAL,364,"241,970","-61.487353, -11.44084",14781714,FLICD2005A00548
ROB20040021,Redutor Eletrônico de Velocidade,RO,CACOAL,364,"239,180","-61.46432, -11.4337",14781713,FLICD2005A00547
ROB20040022,Redutor Eletrônico de Velocidade,RO,CACOAL,364,"239,120","-61.4635, -11.434",14781712,FLICD2005A00546
ROB20040018,Redutor Eletrônico de Velocidade,RO,CACOAL,364,"233,960","-61.421758, -11.457615",14781710,FLICD2005A00545
ROR20040012,Controlador Eletrônico de Velocidade,RO,CACOAL,364,"236,000","-61.436026, -11.446246",1478711,FLISD2005A00543
ROB20040016,Redutor Eletrônico de Velocidade,RO,CACOAL,364,"224,955","-61.36071, -11.510128",14781709,FLICD2005A00541
ROB20040017,Redutor Eletrônico de Velocidade,RO,PIMENTA BUENO,364,"197,410","-61.189474, -11.675107",14781706,FLICD2005A00553
ROR21120027,Controlador Eletrônico de Velocidade,RO,PIMENTA BUENO,364,"193,400","-61.170278, -11.701111",12908468,FLISD2106A00568
ROB20040003,Redutor Eletrônico de Velocidade,RO,PIMENTA BUENO,364,"200,150","-61.192778, -11.6525",14781707,FLICD2005A00535
ROB20040004,Redutor Eletrônico de Velocidade,RO,PIMENTA BUENO,364,"200,525","-61.19394, -11.64794",1481708,FLICD2005A00536
ROB20040013,Redutor Eletrônico de Velocidade,RO,VILHENA,364,"17,210","-60.16859, -12.73127",14781704,FLICD2005A00538
ROB20040014,Redutor Eletrônico de Velocidade,RO,VILHENA,364,"17,550","-60.17039, -12.73091",14781705,FLICD2005A00539
ROB22100040,Redutor Eletrônico de Velocidade,RO,VILHENA,364,"19,762","-60.191282, -12.725943",14826041,FLICD2005A00542
ROB21050031,Redutor Eletrônico de Velocidade,RO,VILHENA,174,"17,550","-60.120126, -12.70448",12908469,FLICD2106A00571
ROB21120039,Redutor Eletrônico de Velocidade,RO,JARU,364,"410,130","-62.39773, -10.5312",12908487,FLICD2106A00578
ROR21120032,Controlador Eletrônico de Velocidade,RO,JARU,364,"434,700","-62.546906, -10.384608",14802643,FLISD2106A00570
ROR21120028,Controlador Eletrônico de Velocidade,RO,JARU,364,"429,670","-62.509396, -10.411434",14781789,FLISD2005A00550
ROR21120026,Controlador Eletrônico de Velocidade,RO,JARU,364,"420,190","-62.44815, -10.47159",14781788,FLISD2106A00569
ROB20040011,Redutor Eletrônico de Velocidade,RO,OURO PRETO DO OESTE,364,"384,015","-62.25154, -10.7142",14781724,FLICD2005A00530
ROB20040012,Redutor Eletrônico de Velocidade,RO,OURO PRETO DO OESTE,364,"384,080","-62.252059, -10.713721",14781723,FLICD2005A00531
ROR20050021,Controlador Eletrônico de Velocidade,RO,OURO PRETO DO OESTE,364,"387,760","-62.274063, -10.687157",14781725,ROR20050021
ROB21050032,Redutor Eletrônico de Velocidade,RO,PRESIDENTE MEDICI,364,"309,550","-61.901644, -11.158351",14781776,FLICD2106A00577
ROR20040016,Controlador Eletrônico de Velocidade,RO,PRESIDENTE MEDICI,364,"307,175","-61.90162, -11.17952",14781720,FLISD2005A00544
ROB21050030,Redutor Eletrônico de Velocidade,RO,COLORADO DO OESTE,435,"63,900","-60.367798, -13.090411",14781784,FLICD2106A00574
RRB22120007,Redutor Eletrônico de Velocidade,RR,CANTA,432,"192,230","-60.595558, 2.616255",13669545,10744
RRR23020008,Controlador Eletrônico de Velocidade,RR,CANTA,401,"7,000","-60.636364, 2.796742",13669546,10787
RRB18120001,Redutor Eletrônico de Velocidade,RR,RORAINOPOLIS,174,"0,400","-60.522472, -0.856194",13669526,10674
RRB18120002,Redutor Eletrônico de Velocidade,RR,RORAINOPOLIS,174,"36,300","-60.630056, -0.551639",13669527,10675
